Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,FullName
Female,26,Some Travel,Sales,Close,California,White,Bachelor's,Marketing,Sales Executive,Single,93246,0,Yes,6/25/2021,Yes,1,0,0,0,Yelena Stamp
Female,32,Frequent Traveller,Technology,Very Far,California,White,Master's,Computer Science,Data Scientist,Single,60759,0,No,6/22/2014,No,8,0,6,3,Beitris Davers
Male,37,Some Travel,Sales,Far,California,White,Bachelor's,Marketing,Sales Executive,Divorced,92483,1,Yes,6/23/2014,No,8,5,5,3,Noak Pointing
Female,36,Some Travel,Technology,Very Far,California,Black or African American,Some College,Computer Science,Analytics Manager,Single,454993,0,No,6/24/2014,No,8,3,4,0,Dulci Berthot
Male,31,Some Travel,Technology,Close,Illinois,White,Some College,Computer Science,Senior Software Engineer,Married,168087,1,No,6/24/2014,No,8,4,7,3,Ryan Gaffey
Male,38,Some Travel,Technology,Very Close,New York,Mixed or multiple ethnic groups,Bachelor's,Other,Analytics Manager,Married,361616,1,Yes,6/25/2014,No,8,1,6,5,Dennis Whopples
Female,27,No Travel ,Technology,Far,New York,Black or African American,High School,Business Studies,Senior Software Engineer,Single,89785,0,No,12/19/2015,Yes,0,0,0,0,Blaire Dinneen
Female,38,Frequent Traveller,Technology,Very Far,New York,Black or African American,Some College,Computer Science,Data Scientist,Married,90187,1,Yes,6/27/2014,No,8,4,5,2,Saraann Justice
Female,48,Some Travel,Technology,Very Far,California,White,Some College,Information Systems,Data Scientist,Married,56053,1,No,6/27/2014,No,8,6,8,4,Eleanore Gundrey
Male,41,Frequent Traveller,Human Resources,Very Far,California,Mixed or multiple ethnic groups,Below High School,Human Resources,HR Executive,Single,79990,0,No,6/29/2014,No,8,5,5,8,Cris Jeram
Male,46,Some Travel,Technology,Far,California,White,Bachelor's,Computer Science,Data Scientist,Divorced,43487,1,No,6/29/2014,No,8,8,8,8,Normy De la Harpe
Female,28,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Below High School,Economics,Sales Representative,Married,52528,0,No,7/2/2014,No,8,2,4,6,Leigh Parker
Female,43,Some Travel,Technology,Very Far,California,Black or African American,Below High School,Information Systems,Software Engineer,Single,98693,0,No,7/4/2014,No,8,5,8,6,Marthe Mattisson
Female,43,Frequent Traveller,Sales,Very Far,California,White,Bachelor's,Economics,Sales Executive,Married,86038,3,No,7/6/2014,No,8,1,3,3,Felicity Hayler
Male,48,Some Travel,Technology,Far,California,Black or African American,Master's,Computer Science,Engineering Manager,Divorced,241907,3,No,7/7/2014,No,8,3,3,0,Udall Dowson
Male,26,Some Travel,Technology,Close,California,Black or African American,Bachelor's,Information Systems,Machine Learning Engineer,Married,89771,2,Yes,10/4/2016,Yes,1,0,0,0,Axel Aicheson
Female,42,Frequent Traveller,Sales,Very Far,California,Mixed or multiple ethnic groups,Some College,Marketing ,Sales Executive,Single,189256,0,No,7/10/2014,No,8,1,2,2,Dorry Tiddy
Female,45,Some Travel,Technology,Close,California,White,High School,Other,Analytics Manager,Single,349793,0,No,7/10/2014,No,8,0,8,6,Yoshiko Abrahart
Female,37,Some Travel,Technology,Very Far,New York,American Indian or Alaska Native,Bachelor's,Information Systems,Data Scientist,Married,49550,3,No,7/11/2014,No,8,2,8,6,Ray Holbie
Male,36,Some Travel,Sales,Close,California,White,Some College,Marketing ,Sales Executive,Single,121303,0,No,7/12/2014,No,8,2,3,0,Benyamin Jane
Female,36,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Some College,Marketing ,Sales Executive,Divorced,192475,2,No,7/20/2014,No,8,2,2,0,Cynthy Gainsford
Female,32,Some Travel,Technology,Very Far,New York,White,Bachelor's,Business Studies,Senior Software Engineer,Married,186169,0,No,7/26/2014,No,8,2,6,0,Jeanie Geater
Female,32,No Travel ,Sales,Very Close,California,Black or African American,Bachelor's,Marketing,Sales Executive,Divorced,114246,1,No,7/26/2014,No,8,3,6,5,Auguste Windsor
Male,25,Some Travel,Sales,Very Far,New York,White,Master's,Marketing,Sales Executive,Divorced,87347,3,Yes,11/9/2019,Yes,2,1,1,0,Samuele Creek
Male,26,Some Travel,Sales,Far,California,Mixed or multiple ethnic groups,Below High School,Marketing ,Sales Executive,Married,87142,1,No,11/11/2015,Yes,2,1,1,0,Selig Draysey
Female,36,Frequent Traveller,Technology,Close,California,Asian or Asian American,Bachelor's,Information Systems,Data Scientist,Single,51050,0,Yes,8/5/2014,No,8,6,7,2,Erin Pickavance
Prefer Not To Say,40,Some Travel,Technology,Far,New York,White,High School,Business Studies,Analytics Manager,Married,295688,0,No,8/5/2014,No,8,1,5,8,Rafaelita Lere
Male,29,Some Travel,Technology,Very Far,New York,White,Below High School,Information Systems,Data Scientist,Divorced,86428,3,No,11/20/2014,Yes,6,5,5,5,Bengt Keaves
Female,38,Frequent Traveller,Technology,Very Close,California,White,Bachelor's,Computer Science,Data Scientist,Single,58828,0,No,8/11/2014,No,8,7,8,0,Dody Stiggles
Male,24,Some Travel,Sales,Far,California,White,Bachelor's,Marketing ,Sales Executive,Married,86102,0,Yes,5/4/2021,Yes,0,0,0,0,Jedidiah Orrick
Male,26,Some Travel,Sales,Far,California,White,Some College,Marketing,Sales Executive,Single,85982,0,No,3/13/2015,Yes,5,1,1,0,Nevil Callaby
Male,44,Some Travel,Technology,Very Close,New York,Black or African American,Bachelor's,Other,Data Scientist,Divorced,85523,1,Yes,8/18/2014,Yes,8,0,4,1,Ezri Cours
Male,31,Some Travel,Technology,Far,California,Black or African American,High School,Computer Science,Senior Software Engineer,Divorced,149482,1,Yes,8/22/2014,No,8,3,7,2,Benton Irdale
Non-Binary,35,Some Travel,Technology,Very Far,California,Asian or Asian American,Bachelor's,Computer Science,Software Engineer,Single,77269,0,No,9/13/2014,No,8,8,8,6,Kaylil Blenkiron
Prefer Not To Say,33,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Some College,Economics,Sales Executive,Married,90726,0,No,9/17/2014,No,8,0,5,1,Bella Stearn
Male,31,Frequent Traveller,Technology,Very Far,California,White,Below High School,Computer Science,Analytics Manager,Divorced,547204,1,Yes,9/28/2014,No,8,7,8,5,Norbie Mosdill
Male,33,No Travel ,Technology,Far,California,White,Some College,Computer Science,Data Scientist,Divorced,43998,3,No,9/29/2014,No,8,6,7,2,Giffy Rofe
Female,30,Some Travel,Sales,Far,California,Mixed or multiple ethnic groups,Bachelor's,Marketing ,Sales Representative,Single,38382,0,Yes,10/2/2014,No,8,7,8,0,Ilysa Cattroll
Male,44,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Computer Science,Software Engineer,Married,49447,1,No,10/9/2014,No,8,7,7,8,Clive Sherwen
Male,40,No Travel ,Technology,Far,California,White,Some College,Information Systems,Software Engineer,Divorced,46285,3,No,10/23/2014,No,8,8,8,3,Winthrop McCahill
Male,44,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Some College,Marketing,Sales Representative,Married,75667,1,No,10/27/2014,No,8,6,6,3,Stillman Castiello
Male,47,Frequent Traveller,Sales,Very Far,New York,White,Some College,Marketing,Sales Executive,Married,232155,0,No,10/30/2014,No,8,7,7,3,Rickey Colafate
Male,44,Frequent Traveller,Technology,Far,California,Black or African American,Some College,Computer Science,Senior Software Engineer,Single,102708,0,Yes,11/3/2014,No,8,3,4,7,Kendricks Durtnell
Male,24,Frequent Traveller,Technology,Very Far,California,White,Some College,Computer Science,Data Scientist,Single,85422,0,Yes,3/28/2021,Yes,1,0,0,0,Adriano Purselowe
Female,30,Some Travel,Technology,Very Far,New York,Asian or Asian American,Bachelor's,Computer Science,Software Engineer,Single,155259,0,No,11/10/2014,No,8,3,5,6,Edna Petrello
Female,39,No Travel ,Sales,Close,New York,White,High School,Marketing ,Sales Executive,Single,89351,0,No,11/11/2014,No,8,2,2,0,Carolynn Gilby
Male,37,Frequent Traveller,Technology,Far,New York,Black or African American,Bachelor's,Computer Science,Data Scientist,Married,53929,2,No,11/15/2014,No,8,7,7,5,Darwin Capelle
Female,28,Frequent Traveller,Technology,Far,California,White,High School,Information Systems,Analytics Manager,Married,546549,1,No,11/18/2014,No,8,8,8,2,Roda Costin
Female,48,Some Travel,Sales,Very Close,New York,Black or African American,Some College,Marketing,Sales Representative,Single,55880,0,No,11/19/2014,No,8,1,6,5,Cassandra Udden
Male,24,Some Travel,Sales,Far,California,Black or African American,Bachelor's,Marketing,Sales Executive,Married,85118,3,No,3/18/2019,Yes,0,0,0,0,Howey Woolis
Male,47,Some Travel,Technology,Close,California,White,Bachelor's,Information Systems,Software Engineer,Single,105126,0,No,11/21/2014,No,8,0,7,1,Spenser Pyzer
Female,32,Frequent Traveller,Sales,Far,New York,White,Some College,Marketing,Sales Executive,Married,142488,1,No,11/22/2014,No,8,0,6,7,Evvy Labbez
Female,30,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Data Scientist,Married,88609,1,Yes,11/24/2014,No,8,4,4,1,Lindy Carratt
Female,29,Frequent Traveller,Technology,Close,Illinois,Mixed or multiple ethnic groups,Some College,Information Systems,Software Engineer,Single,72057,0,No,11/27/2014,No,8,8,8,3,Karylin Aphale
Male,41,Some Travel,Sales,Close,Illinois,Mixed or multiple ethnic groups,Below High School,Marketing,Sales Executive,Married,81654,0,No,11/28/2014,No,8,3,4,7,Forester Bentjens
Female,44,Some Travel,Technology,Close,New York,White,Some College,Information Systems,Software Engineer,Single,57296,0,No,11/29/2014,No,8,5,7,3,Florenza Nesbit
Female,28,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,High School,Information Systems,Machine Learning Engineer,Divorced,117918,2,No,12/2/2014,No,8,3,8,7,Annaliese Hedingham
Male,47,Some Travel,Sales,Far,California,Black or African American,Some College,Marketing,Sales Representative,Married,44646,0,No,12/2/2014,No,8,5,5,4,Basil Gother
Female,47,Some Travel,Sales,Close,New York,White,Bachelor's,Marketing ,Manager,Single,410970,0,No,12/6/2014,No,8,2,5,8,Cody Tipple
Male,47,Some Travel,Sales,Far,California,White,Some College,Other,Sales Executive,Single,106840,0,No,12/6/2014,No,8,3,4,8,Ware Casbon
Female,37,Some Travel,Sales,Far,California,White,Bachelor's,Economics,Manager,Single,476151,0,No,12/8/2014,No,8,3,4,8,Anna-diana Horbart
Male,34,Some Travel,Technology,Far,California,Asian or Asian American,Some College,Computer Science,Software Engineer,Married,42721,1,No,12/10/2014,No,8,3,3,7,Jacques Verne
Female,38,Some Travel,Sales,Close,California,Black or African American,Some College,Marketing,Sales Executive,Divorced,240248,1,Yes,12/14/2014,No,8,4,8,0,Fionna Wilkison
Male,23,Some Travel,Sales,Close,Illinois,White,Some College,Marketing,Sales Executive,Single,84985,0,No,5/1/2020,Yes,1,0,0,0,Quinton McAllister
Female,37,Some Travel,Sales,Far,New York,White,Some College,Marketing ,Sales Executive,Married,230381,1,No,12/19/2014,No,8,3,3,7,Julina Coatsworth
Non-Binary,40,Frequent Traveller,Technology,Close,Illinois,Mixed or multiple ethnic groups,Some College,Computer Science,Software Engineer,Married,95808,2,No,12/21/2014,No,8,8,8,2,Kathye Malia
Male,32,Some Travel,Technology,Very Far,California,Black or African American,Bachelor's,Computer Science,Software Engineer,Married,48377,1,Yes,12/21/2014,No,8,5,5,6,Darbee Larmor
Male,31,Some Travel,Sales,Close,California,Black or African American,Some College,Marketing ,Sales Executive,Single,110076,0,Yes,12/23/2014,No,8,5,8,6,Freedman Meehan
Male,41,Some Travel,Human Resources,Very Far,California,White,Some College,Human Resources,HR Executive,Married,131047,0,No,12/23/2014,No,8,4,4,7,Pauly Gero
Non-Binary,30,Some Travel,Sales,Close,California,White,Below High School,Marketing,Sales Executive,Married,127014,0,No,12/26/2014,No,8,4,8,0,Josiah Sloam
Male,24,No Travel ,Sales,Close,California,White,Some College,Marketing,Sales Executive,Single,82405,0,Yes,6/19/2016,Yes,5,1,4,1,Hilly Giocannoni
Non-Binary,41,Frequent Traveller,Technology,Close,New York,American Indian or Alaska Native,Some College,Computer Science,Software Engineer,Married,96632,1,No,12/31/2014,No,8,2,8,0,Emilie Panter
Male,43,Some Travel,Technology,Very Far,California,Black or African American,Some College,Information Systems,Software Engineer,Single,63511,0,No,12/31/2014,No,8,5,7,4,Linoel Rambadt
Non-Binary,27,No Travel ,Sales,Very Close,California,Black or African American,Some College,Other,Sales Executive,Divorced,92022,1,No,1/6/2015,No,7,7,7,0,Wallas Crinage
Female,27,Some Travel,Technology,Very Close,California,White,Some College,Computer Science,Software Engineer,Single,31450,0,No,1/10/2015,No,7,3,5,7,Kathye Balden
Non-Binary,25,Frequent Traveller,Sales,Very Far,California,White,Bachelor's,Marketing,Sales Executive,Married,81889,0,Yes,11/2/2018,Yes,0,0,0,0,Germaine Clubley
Male,25,Some Travel,Sales,Very Far,California,Asian or Asian American,Some College,Economics,Sales Executive,Married,79329,0,No,7/22/2016,Yes,1,1,1,1,Zacharie Manuaud
Male,28,Frequent Traveller,Technology,Close,California,White,Bachelor's,Business Studies,Senior Software Engineer,Married,140538,1,No,1/21/2015,No,7,3,5,0,Allister Noads
Female,27,Some Travel,Technology,Very Far,California,Mixed or multiple ethnic groups,High School,Information Systems,Analytics Manager,Divorced,240633,1,No,1/22/2015,No,7,1,6,7,Terrie Barnish
Male,27,Some Travel,Technology,Far,Illinois,American Indian or Alaska Native,Bachelor's,Computer Science,Software Engineer,Divorced,25276,1,No,1/22/2015,No,7,6,7,1,Kerr Sporner
Female,26,Some Travel,Human Resources,Close,California,Mixed or multiple ethnic groups,Bachelor's,Human Resources,HR Manager,Married,315071,1,Yes,1/25/2015,No,7,7,7,1,Malina Chivrall
Non-Binary,26,Some Travel,Technology,Far,California,White,Below High School,Computer Science,Senior Software Engineer,Married,54746,1,Yes,1/27/2015,No,7,2,4,4,Billie Sanday
Female,25,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,High School,Computer Science,Software Engineer,Married,43438,1,Yes,1/29/2015,No,7,7,7,3,Lynnelle Peizer
Female,27,No Travel ,Technology,Very Far,California,Asian or Asian American,High School,Business Studies,Data Scientist,Single,30783,0,No,2/3/2015,No,7,7,7,2,Dina Paice
Male,26,Some Travel,Technology,Very Far,California,White,High School,Computer Science,Engineering Manager,Married,148211,3,Yes,2/11/2015,No,7,1,6,0,Arnaldo Balling
Male,28,Some Travel,Technology,Far,New York,White,Some College,Computer Science,Data Scientist,Married,83951,2,No,2/12/2015,No,7,3,6,5,Haywood Ruprich
Female,27,Some Travel,Sales,Far,New York,White,Some College,Technical Degree,Sales Executive,Married,91202,0,Yes,2/15/2015,No,7,5,7,2,Michele Deane
Female,27,Some Travel,Technology,Very Far,California,Asian or Asian American,Bachelor's,Information Systems,Senior Software Engineer,Married,112728,1,No,2/18/2015,No,7,5,6,4,Liuka Attenbrough
Male,29,Frequent Traveller,Sales,Very Far,California,White,Some College,Technical Degree,Sales Representative,Married,78726,1,No,4/25/2012,Yes,6,0,1,1,Tadeas Lackney
Male,27,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Bachelor's,Information Systems,Machine Learning Engineer,Married,92522,0,No,2/22/2015,No,7,4,5,2,Port Lording
Male,28,No Travel ,Technology,Very Far,California,White,Some College,Computer Science,Data Scientist,Single,52930,0,No,2/23/2015,No,7,1,4,2,Giraldo Matyashev
Prefer Not To Say,25,Some Travel,Technology,Very Close,New York,White,High School,Computer Science,Engineering Manager,Single,179602,0,No,3/1/2015,No,7,6,6,6,Issi Early
Male,27,Frequent Traveller,Technology,Close,New York,Black or African American,Bachelor's,Computer Science,Software Engineer,Married,39001,0,Yes,3/3/2015,No,7,7,7,4,Bertrand Davidsen
Male,27,Some Travel,Sales,Very Far,California,Other ,High School,Technical Degree,Sales Executive,Married,68638,0,Yes,3/10/2015,No,7,7,7,0,Sheffield Feldon
Male,29,Frequent Traveller,Technology,Far,California,White,Some College,Computer Science,Data Scientist,Single,78541,0,Yes,2/23/2013,Yes,6,5,5,2,Blake Louys
Male,25,No Travel ,Technology,Close,New York,Black or African American,Some College,Information Systems,Data Scientist,Single,31962,0,No,3/14/2015,No,7,2,7,4,Sigismundo Durtnel
Male,25,Some Travel,Technology,Far,New York,Black or African American,Some College,Computer Science,Data Scientist,Single,24626,0,No,3/14/2015,No,7,7,7,1,Cristian Dignum
Male,25,Frequent Traveller,Sales,Far,New York,White,Below High School,Marketing ,Sales Executive,Single,57030,0,No,3/20/2015,No,7,5,7,6,Mick Tomaschke
Female,28,Frequent Traveller,Technology,Very Far,California,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Data Scientist,Married,87704,2,No,3/28/2015,No,7,1,3,6,Franciska Cubbin
Male,25,Some Travel,Sales,Close,New York,Asian or Asian American,Bachelor's,Marketing,Sales Executive,Divorced,67814,0,No,3/28/2015,No,7,6,7,1,Creigh Lissaman
Non-Binary,41,Some Travel,Human Resources,Close,New York,Black or African American,High School,Economics,HR Business Partner,Single,445906,0,Yes,4/1/2015,No,7,1,5,4,Farica Fardell
Female,27,Some Travel,Sales,Very Close,California,Black or African American,Below High School,Economics,Sales Executive,Married,45046,2,Yes,4/3/2015,No,7,6,7,0,Adelheid Battersby
Male,26,Some Travel,Sales,Far,California,American Indian or Alaska Native,Below High School,Marketing ,Sales Executive,Single,82312,0,Yes,4/11/2015,No,7,2,7,6,Averill Dwyr
Male,28,Frequent Traveller,Technology,Close,New York,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Single,76133,0,Yes,1/6/2014,Yes,1,0,1,0,Giustino Boyan
Female,25,Some Travel,Technology,Close,California,Mixed or multiple ethnic groups,Bachelor's,Other,Software Engineer,Single,51454,0,No,4/17/2015,No,7,1,6,7,Rakel Ruston
Non-Binary,27,Some Travel,Technology,Very Close,California,White,Below High School,Information Systems,Software Engineer,Single,48442,0,No,4/17/2015,No,7,3,4,5,Cher Molian
Non-Binary,27,Some Travel,Technology,Close,California,White,Some College,Information Systems,Data Scientist,Single,45438,0,No,4/19/2015,No,7,1,5,5,Edith Middis
Male,26,Some Travel,Technology,Far,California,Asian or Asian American,Some College,Information Systems,Software Engineer,Married,52390,1,Yes,4/21/2015,No,7,4,5,3,Berkly Bellson
Male,25,Some Travel,Technology,Very Close,New York,Asian or Asian American,Bachelor's,Information Systems,Senior Software Engineer,Married,72840,0,No,4/23/2015,No,7,6,6,0,Brian Josskovitz
Male,26,Some Travel,Technology,Close,California,White,Bachelor's,Information Systems,Senior Software Engineer,Divorced,148080,1,Yes,5/3/2015,No,7,7,7,1,Bank MacEveley
Female,26,Frequent Traveller,Technology,Very Far,California,Asian or Asian American,Below High School,Computer Science,Data Scientist,Married,56966,1,No,5/4/2015,No,7,4,5,2,Antoinette Dreamer
Female,27,Some Travel,Technology,Very Far,California,White,Some College,Computer Science,Software Engineer,Married,33606,2,No,5/7/2015,No,7,0,0,2,Persis Vineall
Female,21,Some Travel,Sales,Very Far,California,White,Some College,Marketing,Sales Executive,Married,76057,2,No,12/12/2020,Yes,1,0,0,0,Roseanne Thrustle
Female,25,Some Travel,Technology,Far,California,White,Master's,Information Systems,Software Engineer,Married,28317,0,Yes,5/13/2015,No,7,4,6,5,Wrennie Quinton
Female,26,Some Travel,Sales,Far,California,Asian or Asian American,Bachelor's,Marketing ,Sales Executive,Single,97811,0,Yes,5/16/2015,No,7,3,6,4,Janeczka Osmond
Female,25,Some Travel,Technology,Very Far,California,Asian or Asian American,Below High School,Computer Science,Engineering Manager,Divorced,190198,2,No,5/18/2015,No,7,0,2,3,Rosene Larmett
Male,26,Some Travel,Technology,Very Close,Illinois,White,Bachelor's,Computer Science,Senior Software Engineer,Single,167509,0,No,5/19/2015,No,7,6,6,0,Obadias Izhaky
Female,25,Some Travel,Technology,Close,New York,Native Hawaiian ,Some College,Computer Science,Machine Learning Engineer,Divorced,44082,1,No,5/24/2015,No,7,3,4,2,Debera Extence
Female,26,Frequent Traveller,Technology,Far,California,White,High School,Information Systems,Senior Software Engineer,Married,59981,1,Yes,5/25/2015,No,7,1,5,2,Lilly Nancarrow
Male,28,Some Travel,Technology,Very Far,Illinois,White,Some College,Information Systems,Senior Software Engineer,Married,194982,1,No,5/25/2015,No,7,2,7,2,Marvin Switland
Female,27,Some Travel,Technology,Close,California,White,High School,Computer Science,Analytics Manager,Married,252301,1,No,5/30/2015,No,7,1,6,5,Bell Di Biasi
Female,25,Some Travel,Human Resources,Far,New York,Black or African American,High School,Economics,HR Executive,Divorced,49131,1,No,5/30/2015,No,7,2,6,2,Lian Ouslem
Prefer Not To Say,26,Some Travel,Technology,Far,California,White,Bachelor's,Other,Software Engineer,Single,60834,0,No,6/1/2015,No,7,0,0,5,Evangelin Desantis
Female,28,Frequent Traveller,Technology,Far,California,Black or African American,Below High School,Computer Science,Data Scientist,Married,62016,3,No,6/2/2015,No,7,6,6,4,Ginnifer Grigoletti
Non-Binary,28,Some Travel,Technology,Close,California,White,Some College,Information Systems,Machine Learning Engineer,Married,140377,1,Yes,6/2/2015,No,7,2,7,5,Kerstin Sponton
Non-Binary,27,Some Travel,Technology,Far,California,White,Below High School,Business Studies,Software Engineer,Single,22986,0,Yes,6/2/2015,No,7,6,7,0,Freedman Kensington
Male,28,Some Travel,Technology,Very Far,New York,Black or African American,Master's,Computer Science,Software Engineer,Single,81906,0,No,6/4/2015,No,7,4,4,1,Alexandro De Pietri
Female,27,Some Travel,Human Resources,Very Far,California,White,Some College,Human Resources,Recruiter,Married,34320,1,No,6/7/2015,No,7,5,6,5,Maybelle Hurler
Male,25,Some Travel,Technology,Close,California,White,Some College,Business Studies,Machine Learning Engineer,Married,145905,2,Yes,6/7/2015,No,7,3,3,2,Oren Milella
Female,26,No Travel ,Technology,Far,New York,Mixed or multiple ethnic groups,Some College,Business Studies,Software Engineer,Divorced,28751,2,No,6/15/2015,No,7,6,6,2,Flora Flounders
Female,27,Some Travel,Technology,Close,New York,Asian or Asian American,Bachelor's,Computer Science,Machine Learning Engineer,Married,77039,1,No,6/18/2015,No,7,3,6,0,Catie McCuish
Female,26,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Business Studies,Engineering Manager,Married,206137,1,No,6/27/2015,No,7,1,1,5,Ninon Leathwood
Male,28,No Travel ,Technology,Very Close,California,Asian or Asian American,Some College,Business Studies,Software Engineer,Divorced,57837,2,No,6/30/2015,No,7,3,3,6,Pavlov Pretor
Male,25,Some Travel,Technology,Close,California,White,Some College,Computer Science,Software Engineer,Married,28646,1,No,7/2/2015,No,7,6,6,3,Gawain Dewdney
Male,25,Some Travel,Technology,Close,New York,White,Some College,Computer Science,Engineering Manager,Single,195911,0,No,7/9/2015,No,7,0,3,4,Earle Willowby
Male,26,Some Travel,Sales,Close,Illinois,White,Bachelor's,Marketing ,Sales Executive,Single,127450,0,No,7/11/2015,No,7,0,0,1,Hy Goodin
Non-Binary,28,Some Travel,Technology,Very Close,California,Mixed or multiple ethnic groups,High School,Business Studies,Engineering Manager,Single,339731,0,No,7/14/2015,No,7,5,7,0,Bo Readitt
Male,25,Some Travel,Technology,Close,New York,Black or African American,Master's,Computer Science,Engineering Manager,Single,178337,0,No,7/16/2015,No,7,1,7,2,Ron Hordle
Male,26,Some Travel,Technology,Very Far,New York,Mixed or multiple ethnic groups,Some College,Computer Science,Senior Software Engineer,Divorced,47676,1,No,7/20/2015,No,7,4,6,1,Erastus Pennings
Male,28,Some Travel,Sales,Very Close,California,Asian or Asian American,High School,Marketing ,Sales Executive,Married,128719,1,No,7/21/2015,No,7,1,3,6,Aurthur Rittelmeyer
Male,28,Some Travel,Sales,Far,New York,Mixed or multiple ethnic groups,High School,Marketing ,Sales Executive,Married,78735,1,No,7/23/2015,No,7,0,2,4,Ollie Chellam
Male,22,Frequent Traveller,Sales,Very Close,New York,White,Bachelor's,Marketing,Sales Executive,Single,75816,0,No,12/24/2020,Yes,1,0,0,0,Shaughn Wehden
Female,27,No Travel ,Technology,Close,California,White,Below High School,Computer Science,Machine Learning Engineer,Single,105398,0,No,7/31/2015,No,7,1,7,4,Alejandrina Pea
Female,27,Frequent Traveller,Technology,Very Far,California,Black or African American,Some College,Information Systems,Data Scientist,Married,31672,1,No,8/2/2015,No,7,1,3,6,Carly Mushawe
Female,27,Some Travel,Technology,Close,New York,Black or African American,Some College,Computer Science,Engineering Manager,Married,238435,1,No,8/7/2015,No,7,2,4,1,Selle Barrington
Non-Binary,26,Some Travel,Technology,Far,California,White,Bachelor's,Computer Science,Data Scientist,Single,29791,0,No,8/7/2015,No,7,7,7,1,Honor Jesson
Female,26,No Travel ,Technology,Far,California,Mixed or multiple ethnic groups,Bachelor's,Information Systems,Engineering Manager,Divorced,153420,2,Yes,8/10/2015,No,7,5,5,7,Nanine Barrie
Female,22,Some Travel,Technology,Very Far,California,Black or African American,Bachelor's,Information Systems,Software Engineer,Married,75738,3,Yes,2/23/2019,Yes,3,1,2,0,Sibley Jeans
Male,27,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Software Engineer,Married,50949,1,No,8/13/2015,No,7,6,7,3,Alister Gianullo
Non-Binary,27,Some Travel,Technology,Very Close,New York,Asian or Asian American,Some College,Computer Science,Machine Learning Engineer,Married,60967,2,No,8/14/2015,No,7,7,7,0,Magnum Dublin
Male,28,Some Travel,Sales,Very Far,California,Asian or Asian American,High School,Marketing,Sales Executive,Married,110057,2,No,8/14/2015,No,7,5,5,4,Ichabod Mabbot
Female,27,Some Travel,Technology,Very Close,California,Asian or Asian American,High School,Computer Science,Engineering Manager,Married,137012,1,No,8/16/2015,No,7,6,7,7,Cordula Upjohn
Non-Binary,27,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Master's,Marketing ,Manager,Single,205622,0,No,8/19/2015,No,7,5,5,3,Adlai Pettit
Male,26,Some Travel,Technology,Very Far,California,White,Some College,Information Systems,Software Engineer,Married,60494,1,Yes,8/22/2015,No,7,7,7,7,Morten Keig
Male,28,Some Travel,Technology,Very Far,Illinois,White,Bachelor's,Information Systems,Engineering Manager,Married,249071,2,No,8/24/2015,No,7,5,5,6,Lion Ewbanck
Male,27,No Travel ,Technology,Far,California,White,Bachelor's,Information Systems,Senior Software Engineer,Divorced,73326,1,No,9/2/2015,No,7,0,5,0,Hoebart Bennen
Female,26,Some Travel,Technology,Far,Illinois,White,Some College,Computer Science,Software Engineer,Divorced,25110,2,No,9/3/2015,No,7,1,5,0,Vitia Southall
Female,26,Some Travel,Technology,Very Far,New York,Black or African American,Bachelor's,Computer Science,Software Engineer,Married,30217,1,No,9/4/2015,No,7,2,4,0,Milka Vinas
Male,25,Some Travel,Sales,Very Far,New York,Mixed or multiple ethnic groups,Some College,Marketing ,Sales Executive,Divorced,86485,1,Yes,9/7/2015,No,7,6,6,0,Aube Bassill
Non-Binary,26,Frequent Traveller,Sales,Close,Illinois,Mixed or multiple ethnic groups,Bachelor's,Marketing ,Sales Executive,Divorced,71349,2,No,6/20/2014,Yes,7,2,2,1,Faina Bewshaw
Female,25,Frequent Traveller,Sales,Close,California,Mixed or multiple ethnic groups,Some College,Marketing,Sales Executive,Married,102569,0,No,9/12/2015,No,7,1,2,5,Jobyna Keeler
Female,27,Some Travel,Technology,Very Close,Illinois,White,Some College,Information Systems,Engineering Manager,Single,200409,0,No,9/17/2015,No,7,5,6,1,Iseabal Sabey
Female,26,Some Travel,Technology,Very Far,California,Black or African American,Bachelor's,Information Systems,Software Engineer,Married,71198,0,No,11/7/2017,Yes,5,0,0,1,Petrina Inkpin
Male,26,Some Travel,Sales,Very Close,New York,White,Below High School,Marketing ,Sales Executive,Married,56892,0,No,9/29/2015,No,7,1,3,3,Silvan Bratcher
